country_code,zone,femmes,hommes,population_rurale,population_totale,population_urbaine
5,Samoa américaines,24591.0,25170.0,7169.0,49761.0,48630.0
50,Chypre,645595.0,656653.0,400589.0,1302247.0,806754.0
52,Azerbaïdjan,5201467.0,4980263.0,4403813.0,10181730.0,5695930.0
53,Bénin,6523643.0,6546526.0,6253682.0,13070169.0,5869303.0
54,Danemark,2930693.0,2900837.0,688897.0,5831530.0,5107903.0
55,Dominique,33673.0,33900.0,21697.0,67573.0,53355.0
56,République dominicaine,5527357.0,5480943.0,1939482.0,11008300.0,9168876.0
57,Bélarus,4992146.0,4358798.0,1931795.0,9350944.0,7483636.0
58,Équateur,8786064.0,8760001.0,6212001.0,17546065.0,11123641.0
59,Égypte,54121570.0,55193553.0,58900432.0,109315124.0,44041052.0
6,Andorre,37994.0,39386.0,9327.0,77380.0,67857.0
60,El Salvador,3271804.0,2962869.0,1720558.0,6234673.0,4758508.0
61,Guinée équatoriale,807749.0,908720.0,378290.0,1716468.0,1027990.0
63,Estonie,699668.0,630001.0,400194.0,1329669.0,900365.0
64,Îles Féroé,25387.0,27200.0,28741.0,52587.0,21155.0
65,Îles Falkland (Malvinas),1774.0,1732.0,629.0,3506.0,2296.0
66,Fidji,460289.0,454673.0,395426.0,914963.0,529489.0
67,Finlande,2798530.0,2731082.0,808148.0,5529612.0,4771979.0
68,France,33981533.0,31923744.0,12503199.0,65905277.0,53217966.0
69,Guyane française,149375.0,139680.0,43105.0,289055.0,260877.0
7,Angola,16911494.0,16539639.0,10890448.0,33451131.999999996,21936953.0
70,Polynésie française,137680.0,141529.0,110556.0,279209.0,180188.0
72,Djibouti,556871.0,548317.0,219361.0,1105188.0,780538.0
73,Géorgie,2028222.0,1767457.0,1580751.0,3795678.0,2317778.0
74,Gabon,1139821.0,1182718.0,213150.0,2322539.0,1938139.0
75,Gambie,1263753.0,1251981.0,858185.0,2515733.0,1435308.0
79,Allemagne,42337474.0,41291235.0,18610145.0,83628708.0,63930305.0
8,Antigua-et-Barbuda,48178.0,43667.0,79428.0,91846.0,25682.0
80,Bosnie-Herzégovine,1730652.0,1568697.0,1783400.0,3299349.0,1714810.0
81,Ghana,15953564.0,15934246.0,13108188.0,31887809.0,17625567.0
82,Gibraltar,18158.0,18015.0,0.0,36173.0,35000.0
83,Kiribati,65239.99999999999,60859.0,54370.0,126099.0,68069.0
84,Grèce,5514194.0,5185175.0,2252163.0,10699369.0,8850409.0
85,Groenland,26495.0,29584.0,7220.0,56080.0,49552.0
86,Grenade,57791.0,58550.0,69370.0,116341.0,39938.0
87,Guadeloupe,221600.0,185794.0,6733.0,407394.0,441694.0
88,Guam,79708.0,82450.0,8542.0,162158.0,160185.0
89,Guatemala,8743332.0,8613994.0,8626519.0,17357325.0,9284293.0
9,Argentine,22772480.0,22419484.0,3590542.0,45191964.0,41919857.0
90,Guinée,6778437.0,6592746.0,8680170.0,13371183.0,5070656.0
91,Guyana,413269.0,394212.0,578961.0,807481.0,211821.0
93,Haïti,5668475.0,5575373.0,4879660.0,11243848.0,6491525.0
94,Saint-Siège,,,0.0,,801.0
95,Honduras,5021043.0,5098597.0,4047211.0,10119640.0,5672054.0
96,Chine - RAS de Hong-Kong,4107529.0000000005,3382707.0,0.0,7490235.0,7547652.0
97,Hongrie,5077383.0,4672074.0,2699487.0,9749457.0,6921767.0
98,Croatie,2049088.0000000002,1904870.0,1747114.0,3953958.0,2368833.0
99,Islande,178573.0,188041.0,20942.0,366614.0,322286.0
