country_code,zone,indice_de_quantite_d'exportation_(2014-2016_=_100),indice_de_quantite_d'importation_(2014-2016_=_100),indice_de_valeur_d'exportation_(2014-2016_=_100),indice_de_valeur_des_importations_(2014-2016_=_100),indice_de_valeur_unitaire_a_l'export_(2014-2016_=_100),indice_de_valeur_unitaire_a_l'import_(2014-2016_=_100),valeur_des_exportations_-_prix_periode_de_reference,valeur_des_exportations_-_quantite_periode_de_reference,valeur_des_importations_-_prix_periode_de_reference,valeur_des_importations_-_quantite_periode_de_reference
255,Belgique,16587.0,14996.0,15848.0,15415.0,14901.0,21856.0,40187860.0,34356890.0,34632750.0,30382216.0
256,Luxembourg,32935.0,44682.0,60644.0,21082.0,16584.0,21681.0,1153950.0,1213529.0,2164125.0,2268707.0
26,Brunéi Darussalam,115634.0,20153704.0,28977.0,349373.0,19899.0,14291.0,4114.0,32198.0,459487.0,357916.0
27,Bulgarie,5486771.0,88023.0,103668.0,47322.0,16200.0,17312.0,4451996.0,4347260.0,4798594.0,2948511.0
272,Serbie,29369.0,35505.0,28582.0,34291.0,13209.0,18119.0,3385513.0,2669941.0,1835044.0,1317697.0
273,Monténégro,9743600.0,626699.0,2481956.0,135872.0,12898.0,12786.0,57568.0,90868.0,388794.0,445322.0
276,Soudan,466185.0,85052.0,598510.0,88139.0,255713.0,15616.0,2096563.0,711129.0,3283489.0,1821788.0
277,Soudan du Sud,383881.0,187932.0,487637.0,367139.0,1610.0,22199.0,96278.0,4802.0,353549.0,270077.0
28,Myanmar,123113.0,142197.0,86280.0,123697.0,11168.0,18383.0,4128666.0,3332606.0,2324548.0,2009501.0
29,Burundi,58020.0,800630.0,39901.0,259034.0,225805.0,14738.0,80247.0,80319.0,139638.0,78985.0
299,Palestine,2611.0,9775.0,11055.0,215305.0,3752.0,12255.0,40608.0,113280.0,931558.0,1677195.0
3,Albanie,6674.0,95058.0,6249.0,50996.0,2695.0,11062.0,81757.0,87288.0,537069.0,521151.0
32,Cameroun,737523.0,213515.0,1072961.0,79128.0,5920.0,19166.0,1164847.0,972215.0,988390.0,888637.0
33,Canada,23839.0,17393.0,24422.0,17602.0,15330.0,13565.0,45554136.0,37336813.0,31759219.0,28437974.0
35,Cabo Verde,3065.0,18281.0,1390.0,15067.0,238.0,10960.0,538.0,285.0,212451.0,166732.0
37,République centrafricaine,291.0,28779.0,494.0,24425.0,136.0,16930.0,6.0,3.0,104545.0,68002.0
38,Sri Lanka,861965.0,137598.0,185754.0,82370.0,12246.0,12576.0,2565256.0,2326101.0,2451021.0,2117677.0
39,Tchad,488345.0,145368.0,18132.0,76185.0,662.0,7337.0,104012.0,44763.0,197668.0,151215.0
4,Algérie,236647.0,1369018.0,150398.0,398489.0,21447.0,11824.0,520327.0,282180.0,10045046.0,8880590.0
40,Chili,139469.0,2754903.0,52199.0,81510.0,9932.0,17022.0,9828727.0,8303728.0,6982244.0,4500461.0
41,"Chine, continentale",61409.0,334383.0,30308.0,380187.0,13176.0,12983.0,42929566.0,36237527.0,149095115.0,95909444.0
44,Colombie,215700.0,85926.0,359209.0,24602.0,12687.0,10766.0,6417105.0,4835499.0,6254066.0,4438713.0
45,Comores,97.0,20632.0,233.0,55920.0,761.0,15307.0,9991.0,32300.0,111983.0,135881.0
46,Congo,2643089.0,17454.0,1005173.0,15335.0,4712.0,13777.0,12535.0,16776.0,537688.0,415080.0
47,Îles Cook,10183.0,10335.0,12717.0,10118.0,2143.0,14492.0,123.0,318.0,20872.0,27954.0
48,Costa Rica,46541.0,307961.0,31039.0,188060.0,14952.0,15760.0,3869724.0,3568045.0,1772321.0,1413452.0
49,Cuba,688739.0,36392004.0,129179.0,5158952.0,3236.0,10641.0,328242.0,836024.0,1811753.0,2826606.0
50,Chypre,16415.0,21190.0,20401.0,23187.0,8265.0,13778.0,453059.0,342655.0,995623.0,902718.0
52,Azerbaïdjan,50709.0,169826.0,225880.0,82403.0,10096.0,17008.0,723795.0,429144.0,1538032.0,1413514.0
53,Bénin,31310.0,34442.0,27646.0,32953.0,18269.0,34765.0,525087.0,432435.0,854239.0,1031849.0
54,Danemark,40710.0,15854.0,17644.0,16750.0,17261.0,16666.0,12110381.0,12015295.0,8993662.0,8811821.0
55,Dominique,10440.0,66905.0,5071.0,96444.0,7260.0,11674.0,1039.0,9902.0,44350.0,51330.0
56,République dominicaine,1266675.0,41195.0,133769.0,29561.0,10666.0,26454.0,2051194.0,1778959.0,3197596.0,2486077.0
57,Bélarus,3067018.0,142364.0,117000.0,34988.0,11990.0,12231.0,4897184.0,4249643.0,3407570.0,3164530.0
58,Équateur,120585.0,104479.0,90580.0,44509.0,12253.0,43863.0,5309788.0,5004155.0,2062266.0,1547089.0
59,Égypte,42878.0,16089.0,42355.0,18556.0,11354.0,342900.0,5819458.0,3092088.0,12702296.0,16268787.0
60,El Salvador,63847.0,25653.0,26306.0,19612.0,10854.0,14169.0,812869.0,657825.0,1963209.0,1448962.0
