Zone,Alimentation pour touristes,Aliments pour animaux,Autres utilisations (non alimentaire),Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Résidus,Semences,Traitement,Variation de stock
"Chine, Taiwan Province de",0.0,5431000.0,767000.0,2976000.0,640370.0,128500.0,85710.0,25365000.0,1669000.0,14429000.0,15162000.0,607000.0,13170000.0,-94000.0,54000.0,3440000.0,833000.0
"Chine, continentale",0.0,411264000.0,110472000.0,3197000.0,968520.0,96890.0,101440.0,2303613000.0,40251000.0,205903000.0,1376284000.0,129667000.0,2147703000.0,-517000.0,22760000.0,253680000.0,10234000.0
Chypre,46000.0,514000.0,103000.0,2612000.0,684720.0,111320.0,80200.0,1513000.0,387000.0,1115000.0,804000.0,53000.0,850000.0,-73000.0,19000.0,39000.0,62000.0
Colombie,0.0,6757000.0,2154000.0,3092000.0,786420.0,84670.0,72310.0,93766000.0,4803000.0,11384000.0,38460000.0,4514000.0,85126000.0,-81000.0,1940000.0,40019000.0,-2062000.0
Congo,0.0,79000.0,44000.0,2305000.0,612610.0,46960.0,55630.0,4259000.0,9000.0,752000.0,3128000.0,317000.0,3494000.0,0.0,4000.0,683000.0,-22000.0
Costa Rica,75000.0,912000.0,151000.0,3013000.0,693110.0,108720.0,81150.0,10447000.0,7413000.0,2669000.0,3431000.0,1087000.0,15285000.0,-637000.0,39000.0,5386000.0,99000.0
Croatie,0.0,1369000.0,61000.0,3079000.0,1018840.0,114300.0,90180.0,7776000.0,2503000.0,2726000.0,4262000.0,329000.0,7723000.0,-167000.0,54000.0,1865000.0,165000.0
Cuba,105000.0,5071000.0,415000.0,3409000.0,844620.0,71970.0,88400.0,33585000.0,1227000.0,4582000.0,9575000.0,1441000.0,30667000.0,0.0,23000.0,16941000.0,436000.0
Côte d'Ivoire,0.0,1225000.0,246000.0,2726000.0,645700.0,54950.0,59110.0,25557000.0,3185000.0,4124000.0,15783000.0,1934000.0,28622000.0,229000.0,1563000.0,4585000.0,3998000.0
Danemark,0.0,7877000.0,1017000.0,3383000.0,962040.0,131110.0,112920.0,20070000.0,12582000.0,7184000.0,5515000.0,700000.0,26176000.0,-125000.0,408000.0,4677000.0,861000.0
