country_code,zone,besoins_energetiques_alimentaires_moyens_(kcal/personne/jour),densite_du_reseau_ferroviaire_(pour_100_km_carres_de_surface_totale_du_pays),"pib_par_habitant,_($_ppa_internationaux_constants_de_2017)","part_des_cereales,_des_racines_et_des_tubercules_dans_les_apports_energetiques_alimentaires_(%)_(moyenne_sur_3_ans)",pourcentage_des_terres_arables_amenagees_pour_l'irrigation_(%)_(moyenne_sur_3_ans),stabilite_politique_et_absence_de_violence/terrorisme_(indice),suffisance_des_apports_energetiques_alimentaires_moyens_(%)_(moyenne_sur_3_ans),taux_de_dependance_a_l'egard_des_importations_cerealieres_(%)_(moyenne_sur_3_ans),valeur_des_importations_alimentaires_par_rapport_aux_exportations_totales_de_marchandises_(%)_(moyenne_sur_3_ans),variabilite_des_disponibilites_alimentaires_par_habitant_(kcal/personne/jour)
230,Ukraine,2489.0,3.6,17285.9,42.0,3.7,-1.16,118.0,-282.5,8.0,8.0
231,États-Unis d'Amérique,2557.0,1.5,66382.8,23.0,2.9,-0.03,152.0,-22.2,9.0,24.0
233,Burkina Faso,2226.0,0.2,2369.6,58.0,0.2,-1.54,119.0,15.6,10.0,20.0
234,Uruguay,2431.0,0.9,27998.7,36.0,1.5,1.05,135.0,-73.1,14.0,30.0
235,Ouzbékistan,2364.0,1.1,7751.2,47.0,9.8,-0.44,137.0,28.7,16.0,63.0
236,Venezuela (République bolivarienne du),2343.0,0.0,0.0,41.0,1.2,-1.55,97.0,62.5,31.0,136.0
237,Viet Nam,2304.0,1.0,12014.8,58.0,14.6,-0.04,131.0,14.0,5.0,6.0
238,Éthiopie,2236.0,0.0,2553.6,74.0,0.8,-1.75,109.0,10.1,81.0,52.0
244,Samoa,2335.0,0.0,6689.7,38.0,0.0,1.15,131.0,0.0,218.0,26.0
249,Yémen,2192.0,0.0,0.0,61.0,1.3,-2.65,96.0,88.5,240.0,47.0
25,Îles Salomon,2190.0,0.0,2724.6,64.0,0.0,0.56,108.0,0.0,24.0,16.0
250,République démocratique du Congo,2123.0,0.2,1320.8,81.0,0.0,-1.79,100.0,22.4,4.0,20.0
251,Zambie,2198.0,0.0,3415.2,72.0,0.2,-0.13,101.0,-1.3,5.0,28.0
255,Belgique,2542.0,11.8,58364.7,24.0,0.8,0.52,152.0,66.7,7.0,25.0
256,Luxembourg,2585.0,10.5,130690.0,29.0,0.0,1.21,135.0,31.4,15.0,60.0
26,Brunéi Darussalam,2423.0,0.0,81313.0,0.0,0.2,1.19,0.0,0.0,6.0,0.0
27,Bulgarie,2490.0,3.6,27092.2,33.0,1.3,0.4,116.0,-258.1,10.0,28.0
272,Serbie,2490.0,3.9,20759.5,49.0,0.7,-0.17,141.0,-59.4,9.0,34.0
273,Monténégro,2465.0,0.0,21609.9,33.0,0.2,-0.06,142.0,94.6,119.0,14.0
276,Soudan,2214.0,0.1,3581.0,50.0,1.0,-1.66,117.0,31.9,56.0,40.0
277,Soudan du Sud,2186.0,0.0,0.0,47.0,0.0,-2.19,109.0,23.6,46.0,0.0
28,Myanmar,2326.0,0.0,5881.7,58.0,3.5,-1.51,120.0,-11.3,9.0,23.0
29,Burundi,2124.0,0.0,861.0,65.0,0.9,-1.54,0.0,23.4,76.0,0.0
