Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts (2010-)","008","Albania","665","Food supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/capita/day","34.02","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/capita/day","4.59","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","684","Fat supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/capita/day","5.04","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","261","Calories/Year","21121","Meat of chickens, fresh or chilled","2020","2020","million kcal","68257.86","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","271","Proteins/Year","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","4824.51","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","281","Fats/Year","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","5289.09","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5610","Import Quantity","F1061","Poultry meat preparations","2020","2020","tonnes","2738.34","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5166","Residuals","F1061","Poultry meat preparations","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5141","Food supply quantity (tonnes)","F1061","Poultry meat preparations","2020","2020","tonnes","2738.34","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","664","Food supply (kcal/capita/day)","F1061","Poultry meat preparations","2020","2020","kcal/capita/day","4.3","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","665","Food supply quantity (g/capita/day)","F1061","Poultry meat preparations","2020","2020","g/capita/day","2.61","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","F1061","Poultry meat preparations","2020","2020","g/capita/day","0.57","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","684","Fat supply quantity (g/capita/day)","F1061","Poultry meat preparations","2020","2020","g/capita/day","0.21","I","Imputed value"
