Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","204","Benin","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","12643.123","X","Figure from international organizations",""
"OA","Annual population","204","Benin","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","6330.776","X","Figure from international organizations",""
"OA","Annual population","204","Benin","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","6312.347","X","Figure from international organizations",""
"OA","Annual population","204","Benin","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","6253.682","X","Figure from international organizations",""
"OA","Annual population","204","Benin","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","5869.303","X","Figure from international organizations",""
"OA","Annual population","060","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","64.031","X","Figure from international organizations",""
"OA","Annual population","060","Bermuda","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","30.939","X","Figure from international organizations",""
"OA","Annual population","060","Bermuda","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","33.092","X","Figure from international organizations",""
"OA","Annual population","060","Bermuda","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","0","X","Figure from international organizations",""
"OA","Annual population","060","Bermuda","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","60.639","X","Figure from international organizations",""
"OA","Annual population","064","Bhutan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","772.506","X","Figure from international organizations",""
"OA","Annual population","064","Bhutan","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","409.408","X","Figure from international organizations",""
"OA","Annual population","064","Bhutan","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","363.099","X","Figure from international organizations",""
"OA","Annual population","064","Bhutan","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","481.8","X","Figure from international organizations",""
"OA","Annual population","064","Bhutan","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","353.445","X","Figure from international organizations",""
"OA","Annual population","068","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","11936.162","X","Figure from international organizations",""
"OA","Annual population","068","Bolivia (Plurinational State of)","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","5992.275","X","Figure from international organizations",""
"OA","Annual population","068","Bolivia (Plurinational State of)","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","5943.886","X","Figure from international organizations",""
"OA","Annual population","068","Bolivia (Plurinational State of)","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","3449.008","X","Figure from international organizations",""
"OA","Annual population","068","Bolivia (Plurinational State of)","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","8094.974","X","Figure from international organizations",""
"OA","Annual population","535","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","26.153","X","Figure from international organizations",""
"OA","Annual population","535","Bonaire, Sint Eustatius and Saba","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","13.459","X","Figure from international organizations",""
"OA","Annual population","535","Bonaire, Sint Eustatius and Saba","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","12.694","X","Figure from international organizations",""
"OA","Annual population","535","Bonaire, Sint Eustatius and Saba","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","6.54","X","Figure from international organizations",""
"OA","Annual population","535","Bonaire, Sint Eustatius and Saba","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","19.672","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","3318.407","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","1632.854","X","Figure from international organizations",""
