Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5622","Import Value","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","1000 US$","4681","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","8330","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","1000 US$","4243","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21511.03","Fat of poultry","2020","2020","tonnes","18.55","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","21511.03","Fat of poultry","2020","2020","1000 US$","40","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","21511.03","Fat of poultry","2020","2020","tonnes","5.66","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","21511.03","Fat of poultry","2020","2020","1000 US$","29","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","42215.28","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","138566","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","49301.47","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","175863","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","1015.89","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","21522","Poultry fat, rendered","2020","2020","1000 US$","845","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","194.21","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","21522","Poultry fat, rendered","2020","2020","1000 US$","31","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","381","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5622","Import Value","02151","Chickens","2020","2020","1000 US$","5575","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","24367.09","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","29968","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","30.96","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","46","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","45.61","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5622","Import Value","21522","Poultry fat, rendered","2020","2020","1000 US$","21","A","Official figure"
"TCL","Crops and livestock products","044","Bahamas","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","34","A","Official figure"
