Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","48","Costa Rica","511","Population totale","1","Population totale","2020","2020","1000 No","5123.1","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","107","Côte d'Ivoire","511","Population totale","1","Population totale","2020","2020","1000 No","26811.79","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","98","Croatie","511","Population totale","1","Population totale","2020","2020","1000 No","4096.87","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","49","Cuba","511","Population totale","1","Population totale","2020","2020","1000 No","11300.7","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","54","Danemark","511","Population totale","1","Population totale","2020","2020","1000 No","5825.64","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","72","Djibouti","511","Population totale","1","Population totale","2020","2020","1000 No","1090.16","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","55","Dominique","511","Population totale","1","Population totale","2020","2020","1000 No","72","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","59","Égypte","511","Population totale","1","Population totale","2020","2020","1000 No","107465.13","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","60","El Salvador","511","Population totale","1","Population totale","2020","2020","1000 No","6292.73","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","225","Émirats arabes unis","511","Population totale","1","Population totale","2020","2020","1000 No","9287.29","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","58","Équateur","511","Population totale","1","Population totale","2020","2020","1000 No","17588.6","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","203","Espagne","511","Population totale","1","Population totale","2020","2020","1000 No","47363.81","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","63","Estonie","511","Population totale","1","Population totale","2020","2020","1000 No","1329.44","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","209","Eswatini","511","Population totale","1","Population totale","2020","2020","1000 No","1180.65","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","231","États-Unis d'Amérique","511","Population totale","1","Population totale","2020","2020","1000 No","335942","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","238","Éthiopie","511","Population totale","1","Population totale","2020","2020","1000 No","117190.91","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","185","Fédération de Russie","511","Population totale","1","Population totale","2020","2020","1000 No","145617.33","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","66","Fidji","511","Population totale","1","Population totale","2020","2020","1000 No","920.42","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","67","Finlande","511","Population totale","1","Population totale","2020","2020","1000 No","5529.47","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","68","France","511","Population totale","1","Population totale","2020","2020","1000 No","64480.05","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","74","Gabon","511","Population totale","1","Population totale","2020","2020","1000 No","2292.57","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","75","Gambie","511","Population totale","1","Population totale","2020","2020","1000 No","2573.99","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","73","Géorgie","511","Population totale","1","Population totale","2020","2020","1000 No","3765.91","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","81","Ghana","511","Population totale","1","Population totale","2020","2020","1000 No","32180.4","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","84","Grèce","511","Population totale","1","Population totale","2020","2020","1000 No","10512.23","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","86","Grenade","511","Population totale","1","Population totale","2020","2020","1000 No","123.66","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","89","Guatemala","511","Population totale","1","Population totale","2020","2020","1000 No","17362.72","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","90","Guinée","511","Population totale","1","Population totale","2020","2020","1000 No","13205.15","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","175","Guinée-Bissau","511","Population totale","1","Population totale","2020","2020","1000 No","2015.83","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","91","Guyana","511","Population totale","1","Population totale","2020","2020","1000 No","797.2","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","93","Haïti","511","Population totale","1","Population totale","2020","2020","1000 No","11306.8","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","95","Honduras","511","Population totale","1","Population totale","2020","2020","1000 No","10121.76","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","97","Hongrie","511","Population totale","1","Population totale","2020","2020","1000 No","9750.57","X","Chiffre de sources internationales","Chiffre non officiel"
