Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","1","Arménie","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","1336.435","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","1554.457","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","1078.125","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","1860.554","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","107.4","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","50.645","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","56.755","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","59.927","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","46.511","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","25743.791","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","12773.754","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","12970.037","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","3494.472","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","21903.705","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","8921.405","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","4389.081","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","4532.324","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","3622.85","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","5159.36","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","10181.73","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","4980.263","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","5201.467","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","4403.813","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","5695.93","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","395.863","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","189.876","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","205.987","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","68.165","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","12","Bahamas","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","338.674","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","1483.077","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","13","Bahreïn","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","924.113","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","13","Bahreïn","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","558.964","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","13","Bahreïn","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","178.17","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","13","Bahreïn","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","1519.595","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","166298.024","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","16","Bangladesh","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","81878.88","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","16","Bangladesh","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","84419.144","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","16","Bangladesh","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","104960.356","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","16","Bangladesh","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","64814.953","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","281.698","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","14","Barbade","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","135.102","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","14","Barbade","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","146.595","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","14","Barbade","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","197.873","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","14","Barbade","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","89.695","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","57","Bélarus","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","9350.944","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","57","Bélarus","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","4358.798","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","57","Bélarus","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","4992.146","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","57","Bélarus","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","1931.795","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","57","Bélarus","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","7483.636","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","255","Belgique","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","11540.107","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","255","Belgique","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","5691.736","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","255","Belgique","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","5848.37","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","255","Belgique","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","223.197","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","255","Belgique","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","11396.775","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","23","Belize","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","390.812","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","23","Belize","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","196.763","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","23","Belize","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","194.048","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","23","Belize","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","214.825","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","23","Belize","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","183.182","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","53","Bénin","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","13070.169","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","53","Bénin","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","6546.526","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","53","Bénin","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","6523.643","X","Chiffre de sources internationales",""
