Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","147","Namibie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4453","I","Valeur imputée",""
"QCL","Cultures et produits animaux","148","Nauru","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","5","I","Valeur imputée",""
"QCL","Cultures et produits animaux","149","Népal","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","82599","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","157","Nicaragua","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","26541","I","Valeur imputée",""
"QCL","Cultures et produits animaux","158","Niger","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","20696","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","159","Nigéria","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","223704","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","160","Nioué","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","18","E","Valeur estimée",""
"QCL","Cultures et produits animaux","162","Norvège","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","14218","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","153","Nouvelle-Calédonie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","577","I","Valeur imputée",""
"QCL","Cultures et produits animaux","156","Nouvelle-Zélande","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","24849","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","221","Oman","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4830","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","226","Ouganda","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","44199","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","235","Ouzbékistan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","76536","I","Valeur imputée",""
"QCL","Cultures et produits animaux","165","Pakistan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","1443000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","299","Palestine","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","7420","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","166","Panama","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","25586","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","168","Papouasie-Nouvelle-Guinée","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4700","I","Valeur imputée",""
"QCL","Cultures et produits animaux","169","Paraguay","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","24754","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","150","Pays-Bas (Royaume des)","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","101863","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","170","Pérou","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","171059","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","171","Philippines","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","178265","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","173","Pologne","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","195825","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","70","Polynésie française","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","325","E","Valeur estimée",""
