Entity,Code,Year,Trade (% of GDP)
Seychelles,SYC,2020,175.0991669
Sierra Leone,SLE,2020,51.55793762
Singapore,SGP,2020,320.5635071
Slovakia,SVK,2020,169.9471741
Slovenia,SVN,2020,146.5409088
Solomon Islands,SLB,2020,63.07001495
Somalia,SOM,2020,100.4409714
South Africa,ZAF,2020,51.12684631
South Korea,KOR,2020,69.21552277
Spain,ESP,2020,59.76872253
Sri Lanka,LKA,2020,39.52338028
Sudan,SDN,2020,0.784630835
Sweden,SWE,2020,84.53333282
Switzerland,CHE,2020,115.8893967
Tajikistan,TJK,2020,55.27150726
Tanzania,TZA,2020,29.60424995
Thailand,THA,2020,97.9942627
Timor,TLS,2020,162.9633942
Togo,TGO,2020,52.94914246
Tonga,TON,2020,81.23931122
Turkey,TUR,2020,61.14060211
Uganda,UGA,2020,37.00069427
Ukraine,UKR,2020,79.17539978
United Kingdom,GBR,2020,56.10885239
United States,USA,2020,23.37612724
Uruguay,URY,2020,46.36830902
Uzbekistan,UZB,2020,61.99237061
Vanuatu,VUT,2020,61.67353058
Vietnam,VNM,2020,208.2540741
World,OWID_WRL,2020,51.61859894
Zambia,ZMB,2020,79.32548523
Zimbabwe,ZWE,2020,76.00193787
