Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","281","Fats/Year","F1061","Poultry meat preparations","2020","2020","t","29.43","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5610","Import quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","t","2469.93","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5166","Residuals","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","664","Food supply (kcal/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","kcal/cap/d","3","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","665","Food supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/cap/d","2.36","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/cap/d","0.41","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","684","Fat supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/cap/d","0.14","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","261","Calories/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","million Kcal","3136.82","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","271","Proteins/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","t","429.77","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","281","Fats/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","t","150.67","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5113","Opening stocks","21121","Meat of chickens, fresh or chilled","2020","2020","t","7762.6","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","2020","2020","t","12233.91","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2020","2020","t","23503.19","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5071","Stock Variation","21121","Meat of chickens, fresh or chilled","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5166","Residuals","21121","Meat of chickens, fresh or chilled","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","664","Food supply (kcal/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","kcal/cap/d","47.05","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","665","Food supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/cap/d","34.15","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/cap/d","5.62","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","684","Fat supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/cap/d","2.73","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","261","Calories/Year","21121","Meat of chickens, fresh or chilled","2020","2020","million Kcal","49231.43","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","271","Proteins/Year","21121","Meat of chickens, fresh or chilled","2020","2020","t","5883.76","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","281","Fats/Year","21121","Meat of chickens, fresh or chilled","2020","2020","t","2851.82","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5610","Import quantity","F1061","Poultry meat preparations","2020","2020","t","2738.34","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5166","Residuals","F1061","Poultry meat preparations","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","664","Food supply (kcal/capita/day)","F1061","Poultry meat preparations","2020","2020","kcal/cap/d","4.66","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","665","Food supply quantity (g/capita/day)","F1061","Poultry meat preparations","2020","2020","g/cap/d","2.62","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","F1061","Poultry meat preparations","2020","2020","g/cap/d","0.53","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","684","Fat supply quantity (g/capita/day)","F1061","Poultry meat preparations","2020","2020","g/cap/d","0.25","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","261","Calories/Year","F1061","Poultry meat preparations","2020","2020","million Kcal","4874.25","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","271","Proteins/Year","F1061","Poultry meat preparations","2020","2020","t","553.15","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","281","Fats/Year","F1061","Poultry meat preparations","2020","2020","t","265.62","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5610","Import quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","t","0.01","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5166","Residuals","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","kcal/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","665","Food supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","674","Protein supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","684","Fat supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","261","Calories/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","million Kcal","0.02","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","271","Proteins/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","t","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","281","Fats/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","t","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5610","Import quantity","21511.03","Fat of poultry","2020","2020","t","0.2","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5166","Residuals","21511.03","Fat of poultry","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","21511.03","Fat of poultry","2020","2020","kcal/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","665","Food supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
