Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","044","Bahamas","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","95.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","64.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","24799","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","044","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.83","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","048","Bahrain","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","107.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","048","Bahrain","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","61.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","048","Bahrain","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","52429.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","048","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.61","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","64.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","14.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","6968.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.92","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","052","Barbados","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","108.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","052","Barbados","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","61","E","Estimated value",""
"FS","Suite of Food Security Indicators","052","Barbados","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","14828.8","X","Figure from international organizations",""
